call_id,scenario,timestamp,duration_sec,twilio_usd,stt_usd,llm_usd,tts_usd,total_usd
call-01,happy_path,1782447240,137,0.032,0.0098,0.04,0.0152,0.097
call-02,closed_day_trap,1782447409,147,0.0343,0.0105,0.036,0.0213,0.1021
call-03,emergency_escalation,1782447481,51,0.0119,0.0037,0.018,0.0087,0.0423
call-04,controlled_substance_refill,1782447649,146,0.0341,0.0105,0.04,0.0304,0.1149
call-05,reschedule_midcall,1782448368,133,0.031,0.0095,0.04,0.0121,0.0926
call-06,insurance_obscure,1782448535,143,0.0334,0.0102,0.032,0.022,0.0976
call-07,multi_constraint,1782448687,129,0.0301,0.0092,0.028,0.0122,0.0795
call-08,identity_correction,1782448855,147,0.0343,0.0105,0.032,0.024,0.1008
call-09,topic_switch,1782449022,146,0.0341,0.0105,0.038,0.0236,0.1062
call-10,third_party_privacy,1782449184,141,0.0329,0.0101,0.032,0.0229,0.0979
call-11,past_date_booking,1782449304,99,0.0231,0.0071,0.028,0.0173,0.0755
call-12,readback_stress,1782449472,147,0.0343,0.0105,0.04,0.0328,0.1177
call-13,hours_location,1782449566,73,0.017,0.0052,0.016,0.0079,0.0462
call-14,prompt_injection,1782449734,146,0.0341,0.0105,0.028,0.0224,0.095
